[1113/214524.414:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1113/232552.985:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232559.808:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232604.836:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232609.972:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232615.015:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232620.028:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232625.044:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232630.063:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232635.138:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232640.172:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232645.185:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232650.201:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232655.214:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232700.660:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232705.670:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232710.683:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232715.691:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232720.711:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232725.778:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232730.789:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232735.794:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232740.811:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232745.831:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232750.852:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232755.861:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232800.871:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232805.892:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232810.899:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1113/232815.921:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1114/002856.774:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
